Canal de Origem,Região,UF,Sexo,Faixa Etária,Ano Abertura,Mês Abertura,Segmento de Mercado,Área,Assunto,Grupo Problema,Problema,Como Comprou Contratou,Procurou Empresa,target_resolvida
Plataforma Web,SE,SP,F,entre 41 a 50 anos,2023.0,3.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Cobrança / Contestação,Renegociação / parcelamento de dívida,Internet,S,1
Plataforma Web,SE,SP,M,entre 41 a 50 anos,2023.0,8.0,Transporte Aéreo,Transportes,Aéreo,Cobrança / Contestação,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,S,1
Plataforma Web,NE,MA,M,entre 61 a 70 anos,2022.0,12.0,Comércio Eletrônico,Demais Produtos,"Esporte/Lazer/Festa (equipamento de ginástica, camping, náutica, caça, pesca, artigo esportivo, bicicleta, piscina, etc.)",Entrega do Produto,Não entrega / demora na entrega do produto,Internet,S,1
Plataforma Web,SE,MG,F,entre 21 a 30 anos,2020.0,10.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Telefonia Móvel Pós-paga,Contrato / Oferta,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Loja física,S,1
Plataforma Web,CO,GO,M,entre 21 a 30 anos,2020.0,9.0,Empresas de Serviços Postais e Logística,Demais Serviços,Serviços Postais,Entrega do Produto,Não entrega / demora na entrega do produto,Internet,S,0
Plataforma Web,SE,SP,M,entre 61 a 70 anos,2022.0,7.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Vício de Qualidade,Não entrega de cartão,Não comprei / contratei,S,0
Plataforma Web,SE,RJ,M,entre 31 a 40 anos,2021.0,2.0,Empresas de Intermediação de Serviços / Negócios,Demais Serviços,Aplicativo de mobilidade urbana,Vício de Qualidade,Bloqueio / Suspensão indevida do serviço,Internet,S,0
Plataforma Web,SE,SP,M,entre 31 a 40 anos,2023.0,3.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Atendimento / SAC,Dificuldade de contato / acesso a outros canais (exceto SAC),Não comprei / contratei,N,0
Plataforma Web,SE,ES,F,entre 41 a 50 anos,2024.0,4.0,Fabricantes - Eletroportáteis e Artigos de Uso Doméstico e Pessoal,Demais Produtos,"Utilidades Domésticas e Decoração (para limpeza, cozinha, cama, mesa e banho, tapetes, cortinas, persianas, jardinagem etc)",Atendimento / SAC,Má qualidade no atendimento (descortesia / despreparo/ constrangimento),Internet,S,0
Plataforma Web,S,RS,M,entre 61 a 70 anos,2017.0,5.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Pacote de Serviços ( Combo ),Cobrança / Contestação,Cobrança após cancelamento do serviço,Telefone,S,0
Plataforma Web,NE,BA,F,entre 61 a 70 anos,2023.0,1.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Pacote de Serviços ( Combo ),Atendimento / SAC,SAC - Demanda não resolvida / não respondida / respondida após o prazo,Internet,S,1
Plataforma Web,SE,MG,M,entre 21 a 30 anos,2023.0,6.0,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Cobrança por Irregularidade ou defeito na medição,Não comprei / contratei,S,1
Plataforma IOS,SE,MG,M,até 20 anos,2018.0,3.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Conta corrente / Salário / Poupança /Conta Aposentadoria,Cobrança / Contestação,Cobrança de compra/saque não reconhecido,Internet,N,1
Não informado,NE,PE,M,entre 31 a 40 anos,Não informado,Não informado,Comércio Eletrônico,Demais Produtos,"Esporte/Lazer/Festa (equipamento de ginástica, camping, náutica, caça, pesca, artigo esportivo, bicicleta, piscina, etc.)",Vício de Qualidade,Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia,Internet,N,0
Plataforma Web,SE,SP,M,entre 61 a 70 anos,2017.0,1.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Telefonia Móvel Pós-paga,Cobrança / Contestação,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Loja física,S,1
Plataforma Web,CO,DF,M,entre 31 a 40 anos,2024.0,8.0,Programas de Fidelidade,Transportes,Aéreo,Contrato / Oferta,Dificuldade / demora para cancelar o serviço,Internet,N,1
Plataforma Web,SE,SP,M,entre 31 a 40 anos,2024.0,12.0,Empresas de Pagamento Eletrônico,Serviços Financeiros,Serviço de pagamento online/ via celular/ maquininha,Vício de Qualidade,Funcionamento inadequado do serviço,Telefone,S,0
Plataforma Web,SE,SP,M,entre 41 a 50 anos,2024.0,3.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Contrato / Oferta,Alteração / rescisão de contrato sem solicitação / aviso prévio,Telefone,S,0
Plataforma Web,S,PR,M,entre 31 a 40 anos,2023.0,10.0,Varejo,Produtos Eletrodomésticos e Eletrônicos,"Fogão, microondas, forno elétrico, depurador de ar e coifa",Vício de Qualidade,Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia,Loja física,S,0
Plataforma Web,SE,RJ,M,entre 31 a 40 anos,2024.0,6.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Dados Pessoais e Privacidade,Dificuldade de acesso a dados pessoais ou financeiros,Internet,S,1
Plataforma Web,SE,SP,F,entre 21 a 30 anos,2023.0,4.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Internet Fixa,Atendimento / SAC,SAC - Demanda não resolvida / não respondida / respondida após o prazo,Não comprei / contratei,S,1
Plataforma Web,N,PA,M,entre 41 a 50 anos,2023.0,11.0,Programas de Fidelidade,Transportes,Aéreo,Atendimento / SAC,Dificuldade de contato / acesso a outros canais (exceto SAC),Internet,N,1
Plataforma Web,NE,RN,M,entre 31 a 40 anos,2024.0,11.0,Empresas de Serviços Postais e Logística,Transportes,Cargas e Encomendas,Entrega do Produto,Não entrega / demora na entrega do produto,Domicílio,S,0
Plataforma Web,S,PR,M,entre 61 a 70 anos,2022.0,3.0,"Seguros, Capitalização e Previdência",Serviços Financeiros,Demais Seguros (exceto habitacional),Contrato / Oferta,"Venda casada (imposição de seguro, empréstimo, título de capitalização etc)",Loja física,S,0
Plataforma Web,SE,RJ,M,mais de 70 anos,2020.0,12.0,Comércio Eletrônico,Produtos Eletrodomésticos e Eletrônicos,"Fogão, microondas, forno elétrico, depurador de ar e coifa",Contrato / Oferta,Recusa em cancelar compra/serviço no prazo de arrependimento (compra fora do estabelecimento),Internet,S,0
Plataforma Web,NE,BA,M,entre 41 a 50 anos,2024.0,12.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Cobrança / Contestação,"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",Loja física,S,0
Plataforma Web,NE,BA,F,entre 21 a 30 anos,2021.0,11.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Cobrança / Contestação,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,Não comprei / contratei,S,0
Plataforma Web,SE,SP,M,entre 41 a 50 anos,2015.0,4.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Telefonia Móvel Pós-paga,Cobrança / Contestação,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,Loja física,S,1
Plataforma Web,NE,PB,F,entre 41 a 50 anos,2020.0,6.0,Não informado,Telecomunicações,Telefonia Móvel Pós-paga,Cobrança / Contestação,Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo,Loja física,S,1
Plataforma Web,N,RO,M,entre 31 a 40 anos,2024.0,1.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Produtos de Telefonia e Informática,Demais aparelhos de comunicação,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Internet,S,0
Plataforma Web,S,RS,M,entre 51 a 60 anos,2022.0,10.0,"Seguros, Capitalização e Previdência",Serviços Financeiros,Seguro Prestamista,Cobrança / Contestação,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,Não comprei / contratei,S,0
Plataforma Web,NE,PE,M,entre 51 a 60 anos,2021.0,5.0,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Cobrança por serviços não realizados / atrasados ou por consumo elevado,Internet,S,0
Plataforma Web,NE,PB,M,até 20 anos,2018.0,8.0,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,"Banco de Dados e Cadastros de Consumidores (SPC, Serasa, SCPC etc)",Informação,"Dados pessoais ou financeiros consultados, coletados, publicados ou repassados sem autorização",Internet,N,1
Plataforma Web,NE,BA,F,entre 51 a 60 anos,2021.0,9.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Cobrança / Contestação,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,Não comprei / contratei,S,0
Não informado,NE,AL,M,entre 51 a 60 anos,Não informado,Não informado,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Pacote de Serviços ( Combo ),Cobrança / Contestação,Cobrança em duplicidade / Cobrança referente a pagamento já efetuado,Telefone,S,1
Plataforma Web,SE,RJ,M,mais de 70 anos,2024.0,11.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Conta corrente / Salário / Poupança /Conta Aposentadoria,Cobrança / Contestação,Cobrança em duplicidade / Cobrança referente a pagamento já efetuado,Não comprei / contratei,S,1
Plataforma Web,SE,SP,M,entre 41 a 50 anos,2023.0,7.0,Empresas de Serviços Postais e Logística,Demais Serviços,Serviços Postais,Vício de Qualidade,Má qualidade do serviço,Internet,S,1
Plataforma Web,SE,SP,M,entre 51 a 60 anos,2021.0,12.0,Empresas de Pagamento Eletrônico,Serviços Financeiros,Serviço de pagamento online/ via celular/ maquininha,Cobrança / Contestação,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Loja física,S,1
Plataforma Web,SE,MG,F,entre 31 a 40 anos,2020.0,6.0,Não informado,Demais Produtos,"Utilidades Domésticas e Decoração (para limpeza, cozinha, cama, mesa e banho, tapetes, cortinas, persianas, jardinagem etc)",Entrega do Produto,Não entrega / demora na entrega do produto,Internet,S,1
Plataforma Web,NE,CE,M,entre 21 a 30 anos,2017.0,11.0,Transporte Aéreo,Transportes,Aéreo,Cobrança / Contestação,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,S,1
Plataforma Web,SE,SP,M,entre 51 a 60 anos,2017.0,2.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Telefonia Móvel Pré-paga,Contrato / Oferta,Alteração de plano/contrato sem solicitação ou aviso prévio,"Stand, feiras e eventos",S,1
Plataforma Web,SE,ES,M,entre 21 a 30 anos,2021.0,9.0,Empresas de Intermediação de Serviços / Negócios,Demais Serviços,Aplicativo de mobilidade urbana,Vício de Qualidade,Serviço não realizado no prazo ou incompleto,Internet,S,1
Plataforma Web,SE,MG,F,mais de 70 anos,2023.0,12.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Atendimento / SAC,Dificuldade de contato / acesso a outros canais (exceto SAC),Não comprei / contratei,S,0
Plataforma Web,SE,MG,M,entre 41 a 50 anos,2021.0,10.0,Empresas de Intermediação de Serviços / Negócios,Demais Produtos,"Vestuário e Artigos de Uso Pessoal (roupa, calçados, jóias, bijuterias, malas, bolsas, etc)",Contrato / Oferta,Recusa em cancelar compra/serviço no prazo de arrependimento (compra fora do estabelecimento),Internet,S,1
Não informado,SE,SP,M,entre 21 a 30 anos,Não informado,Não informado,Transporte Aéreo,Transportes,Aéreo,Cobrança / Contestação,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,S,0
Plataforma Web,S,PR,M,entre 31 a 40 anos,2020.0,9.0,Transporte Aéreo,Transportes,Aéreo,Atendimento / SAC,Má qualidade no atendimento presencial ou outros canais (exceto SAC),Internet,S,1
Plataforma Web,NE,SE,M,entre 21 a 30 anos,2020.0,3.0,Não informado,Serviços Financeiros,"Banco de Dados e Cadastros de Consumidores (SPC, Serasa, SCPC etc)",Informação,"Dados pessoais ou financeiros consultados, coletados, publicados ou repassados sem autorização",Internet,N,1
Não informado,CO,DF,M,entre 31 a 40 anos,Não informado,Não informado,"Corretoras e Sociedades de Seguros, Capitalização e Previdência",Serviços Financeiros,Investimentos / Aplicações / Previdência Privada,Vício de Qualidade,Dificuldade/recusa de resgate,Não comprei / contratei,S,1
Plataforma Web,CO,MS,F,entre 31 a 40 anos,2020.0,7.0,Não informado,Demais Produtos,"Vestuário e Artigos de Uso Pessoal (roupa, calçados, jóias, bijuterias, malas, bolsas, etc)",Atendimento / SAC,Dificuldade de contato / demora no atendimento,Internet,S,1
Plataforma Web,N,RO,M,entre 31 a 40 anos,2024.0,5.0,Transporte Aéreo,Transportes,Aéreo,Vício de Qualidade,Cancelamento de voo,Internet,S,1
Plataforma Web,SE,SP,M,entre 51 a 60 anos,2021.0,4.0,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Cobrança por Irregularidade ou defeito na medição,Domicílio,N,0
Plataforma Web,NE,BA,M,entre 21 a 30 anos,2023.0,5.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Telefonia Móvel Pós-paga,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Internet,S,1
Plataforma Web,S,RS,M,entre 21 a 30 anos,2018.0,5.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Telefonia Móvel Pré-paga,Cobrança / Contestação,Cobrança após cancelamento do serviço,Não comprei / contratei,S,1
Plataforma Web,S,SC,F,entre 31 a 40 anos,2023.0,6.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Conta corrente / Salário / Poupança /Conta Aposentadoria,Cobrança / Contestação,"Cobrança de tarifas, taxas, valores não previstos / não informados",Loja física,S,0
Plataforma Web,NE,BA,F,entre 31 a 40 anos,2023.0,10.0,Agua e Saneamento,"Água, Energia, Gás",Água e Esgoto,Cobrança / Contestação,"Cobrança de tarifas, taxas, valores não previstos / não informados",Loja física,S,0
Plataforma Web,CO,DF,M,entre 51 a 60 anos,2020.0,5.0,Não informado,Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Atendimento / SAC,Dificuldade de contato / acesso a outros canais (exceto SAC),Internet,S,0
Plataforma Web,SE,MG,F,entre 41 a 50 anos,2023.0,12.0,Varejo,Produtos Eletrodomésticos e Eletrônicos,Refrigerador / freezer,Entrega do Produto,Não entrega / demora na entrega do produto,Internet,S,0
Plataforma Web,SE,SP,F,entre 41 a 50 anos,2024.0,3.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Cobrança / Contestação,Negativação indevida (não cumprimento de acordo de parcelamento),Internet,S,1
Plataforma Web,NE,BA,F,entre 21 a 30 anos,2021.0,1.0,Varejo,Produtos Eletrodomésticos e Eletrônicos,"Eletroportáteis ( batedeira, liquidificador, umidificador, secador, cafeteira etc )",Contrato / Oferta,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Internet,S,1
Plataforma Web,SE,MG,M,entre 31 a 40 anos,2015.0,8.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Internet Móvel,Vício de Qualidade,Suspensão ou desligamento indevido do serviço,Internet,N,0
Plataforma Web,SE,RJ,M,entre 41 a 50 anos,2023.0,11.0,Supermercados,Alimentos,Bebidas,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Internet,S,0
Plataforma Web,S,RS,M,entre 51 a 60 anos,2023.0,12.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS),Atendimento / SAC,SAC - Dificuldade para cancelar o serviço,Não comprei / contratei,S,0
Plataforma Web,N,PA,M,entre 31 a 40 anos,2022.0,4.0,Transporte Aéreo,Transportes,Aéreo,Contrato / Oferta,Dificuldade / demora para alterar o contrato de serviço (alteração de voo),Internet,S,1
Plataforma Web,SE,SP,M,entre 31 a 40 anos,2021.0,8.0,Transporte Aéreo,Demais Serviços,"Programas de Fidelidade / Benefícios (pontos, milhagem etc)",Vício de Qualidade,Interrupção/instabilidade do fornecimento,Internet,N,1
Plataforma Web,SE,RJ,F,entre 31 a 40 anos,2020.0,1.0,Não informado,Telecomunicações,Pacote de Serviços ( Combo ),Cobrança / Contestação,Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo,Internet,S,1
Plataforma Web,NE,PB,M,entre 31 a 40 anos,2023.0,8.0,Transporte Aéreo,Transportes,Aéreo,Contrato / Oferta,Dificuldade / demora para alterar o contrato de serviço (alteração de voo),Internet,S,1
Plataforma Web,S,RS,F,entre 21 a 30 anos,2015.0,3.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Produtos de Telefonia e Informática,Aparelho celular,Cobrança / Contestação,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,Loja física,S,1
Plataforma Web,NE,PE,F,mais de 70 anos,2021.0,10.0,Comércio Eletrônico,Demais Produtos,"Esporte/Lazer/Festa (equipamento de ginástica, camping, náutica, caça, pesca, artigo esportivo, bicicleta, piscina, etc.)",Contrato / Oferta,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Internet,S,0
Plataforma Web,S,PR,M,entre 41 a 50 anos,2020.0,1.0,Não informado,Serviços Financeiros,"Banco de Dados e Cadastros de Consumidores (SPC, Serasa, SCPC etc)",Informação,"Dados pessoais ou financeiros consultados, coletados, publicados ou repassados sem autorização",Internet,S,0
Plataforma Web,CO,GO,M,entre 31 a 40 anos,2018.0,7.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,TV por Assinatura,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Telefone,S,1
Plataforma Web,S,SC,M,mais de 70 anos,2023.0,6.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Financiamentos de Veículos / Leasing,Atendimento / SAC,SAC - Demanda não resolvida / não respondida / respondida após o prazo,Loja física,S,0
Plataforma Web,SE,SP,M,entre 21 a 30 anos,2023.0,5.0,Varejo,Demais Produtos,Móveis e Colchões,Vício de Qualidade,Produto danificado / não funciona - Falta de assistência técnica / falta de informações sobre assistência técnica,Internet,S,0
Plataforma Web,SE,SP,F,entre 41 a 50 anos,2022.0,2.0,"Viagens, Turismo e Hospedagem",Turismo/Viagens,Pacote / excursão / agência de turismo,Contrato / Oferta,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Internet,S,0
Plataforma Web,N,TO,F,entre 61 a 70 anos,2023.0,5.0,Empresas de Intermediação de Serviços / Negócios,Serviços Financeiros,Conta corrente / Salário / Poupança /Conta Aposentadoria,Cobrança / Contestação,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,Não comprei / contratei,S,1
Plataforma Android,SE,SP,M,entre 31 a 40 anos,2018.0,7.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Cobrança / Contestação,"Cobrança de tarifas, taxas, valores não previstos / não informados",Não comprei / contratei,N,0
Plataforma Web,NE,BA,M,entre 21 a 30 anos,2017.0,1.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,TV por Assinatura,Cobrança / Contestação,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,Telefone,S,1
Plataforma Web,S,PR,M,entre 31 a 40 anos,2023.0,10.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Contrato / Oferta,Não entrega do contrato ou documentação relacionada ao serviço,Não comprei / contratei,N,1
Plataforma Web,NE,BA,M,entre 21 a 30 anos,2024.0,2.0,Empresas de Serviços Postais e Logística,Demais Serviços,Serviços Postais,Entrega do Produto,Não entrega / demora na entrega do produto,Internet,S,0
Plataforma Web,CO,DF,F,entre 41 a 50 anos,2020.0,12.0,"Viagens, Turismo e Hospedagem",Turismo/Viagens,Pacote / excursão / agência de turismo,Cobrança / Contestação,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Não comprei / contratei,S,0
Plataforma Web,S,PR,F,entre 21 a 30 anos,2016.0,8.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Internet Fixa,Cobrança / Contestação,Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo,Telefone,S,0
Não informado,NE,BA,M,entre 31 a 40 anos,Não informado,Não informado,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Programas Sociais,Vício de Qualidade,Não entrega de cartão,Telefone,S,0
Plataforma Web,S,SC,M,entre 31 a 40 anos,2022.0,2.0,Transporte Aéreo,Transportes,Cargas e Encomendas,Vício de Qualidade,"Extravio/ avaria de bagagem, carga, correspondência (ressarcimento, indenizações)",Internet,S,0
Plataforma Web,SE,RJ,M,entre 21 a 30 anos,2022.0,6.0,"Seguros, Capitalização e Previdência",Serviços Financeiros,Demais Seguros,Cobrança / Contestação,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,S,0
Plataforma Web,SE,SP,M,entre 61 a 70 anos,2020.0,9.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Internet Móvel,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Loja física,S,0
Plataforma Web,NE,BA,M,entre 21 a 30 anos,2023.0,3.0,"Viagens, Turismo e Hospedagem",Transportes,Aéreo,Contrato / Oferta,Dificuldade / demora para cancelar o serviço,Internet,S,1
Plataforma Web,NE,PI,M,entre 31 a 40 anos,2020.0,9.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Telefonia Móvel Pós-paga,Cobrança / Contestação,Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo,Não comprei / contratei,S,1
Plataforma Web,SE,RJ,M,entre 41 a 50 anos,2024.0,2.0,"Viagens, Turismo e Hospedagem",Turismo/Viagens,Pacote / excursão / agência de turismo,Contrato / Oferta,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Internet,S,0
Plataforma Web,CO,GO,M,entre 41 a 50 anos,2018.0,9.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Telefonia Móvel Pré-paga,Atendimento / SAC,SAC - Demanda não resolvida / não respondida / respondida após o prazo,Internet,S,1
Plataforma Web,SE,MG,M,entre 31 a 40 anos,2024.0,2.0,"Viagens, Turismo e Hospedagem",Turismo/Viagens,Pacote / excursão / agência de turismo,Cobrança / Contestação,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,S,0
Plataforma Web,NE,RN,M,entre 21 a 30 anos,2024.0,4.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Dados Pessoais e Privacidade,Dados pessoais ou financeiros incorretos / desatualizados ? dificuldade de retificação,Não comprei / contratei,S,0
Plataforma Web,SE,SP,F,entre 21 a 30 anos,2023.0,6.0,Comércio Eletrônico,Produtos de Telefonia e Informática,Aparelho celular,Cobrança / Contestação,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,S,1
Plataforma Web,SE,SP,M,entre 21 a 30 anos,2016.0,12.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Cobrança / Contestação,"Cobrança de tarifas, taxas, valores não previstos / não informados",Telefone,N,1
Plataforma Web,NE,PB,M,entre 31 a 40 anos,2021.0,11.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,TV por Assinatura,Cobrança / Contestação,Cobrança em duplicidade / Cobrança referente a pagamento já efetuado,Telefone,S,1
Plataforma Web,S,RS,F,entre 21 a 30 anos,2017.0,11.0,Transporte Aéreo,Transportes,Aéreo,Vício de Qualidade,"Extravio/ avaria de bagagem, carga, correspondência (ressarcimento, indenizações)",Internet,S,0
Plataforma Web,S,RS,F,entre 51 a 60 anos,2021.0,3.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Telefonia Móvel Pós-paga,Vício de Qualidade,"Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda)",Loja física,N,1
Plataforma Web,S,RS,M,entre 61 a 70 anos,2017.0,11.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Produtos de Telefonia e Informática,Demais aparelhos de comunicação,Contrato / Oferta,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Telefone,S,1
Plataforma Web,NE,SE,M,entre 31 a 40 anos,2022.0,12.0,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Contrato / Oferta,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Telefone,S,0
Plataforma Web,SE,SP,M,entre 61 a 70 anos,2024.0,12.0,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,Dados Pessoais e Privacidade,Dificuldade de cancelamento / eliminação de dados / revogação do consentimento,SMS / Mensagem de texto,S,0
Plataforma Web,NE,CE,M,entre 21 a 30 anos,2021.0,5.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Cobrança / Contestação,"Cobrança de tarifas, taxas, valores não previstos / não informados",Loja física,S,1
Plataforma Web,NE,BA,M,entre 21 a 30 anos,2017.0,6.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Telefonia Móvel Pré-paga,Cobrança / Contestação,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,Não comprei / contratei,S,1
Plataforma Web,CO,MS,F,entre 31 a 40 anos,2020.0,2.0,Não informado,Telecomunicações,Internet Móvel,Contrato / Oferta,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Telefone,S,1
Plataforma Web,S,SC,F,entre 31 a 40 anos,2023.0,4.0,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,Dados Pessoais e Privacidade,Dados pessoais ou financeiros incorretos / desatualizados ? dificuldade de retificação,Não comprei / contratei,N,1
Plataforma Web,S,RS,F,entre 41 a 50 anos,2017.0,7.0,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Internet Móvel,Cobrança / Contestação,Cobrança em duplicidade / Cobrança referente a pagamento já efetuado,Telefone,N,1
